width,height,ratio
63.336928389819114,0.6663071057240162,0.01052004135128093
63.171008589613194,0.6157991208964221,0.0097481286850575
62.007677383970744,0.6189117025498462,0.009981210854219763
61.49455054500613,0.5573915909376077,0.009064081060803404
60.432297348264605,0.6105582533982572,0.010103177939433246
59.24521760096045,0.9549417020756613,0.01611846053984584
58.163679322060865,4.451376756514494,0.07653189771346075
57.78381152615483,7.730938176434961,0.13379072740702969
59.153556746052914,11.197474138147614,0.18929502728328804
59.507962696645635,13.28242846180934,0.22320422108078738
60.62532163199805,15.151894824696857,0.24992683612749175
61.27961902708936,17.405621538112296,0.28403605985895475
61.63844822284279,18.919932175784055,0.3069501702473499
61.48180262457593,20.448579711758445,0.3325956435699008
61.82228563368878,21.418862717731685,0.3464586030455645
63.29422900734816,21.884969742671327,0.3457656422377874
63.861183366045594,22.077764446158298,0.34571492857579655
63.73695760734776,22.34248456592038,0.3505420623237385
63.87689472030655,21.816485860875915,0.34153954972924544
64.36453668987612,21.40150118388781,0.3325045480713302
64.87443451596255,20.55913583886611,0.3169065902810678
65.76795747831969,19.89206743998921,0.30245834297874613
67.0444742438172,19.394408888282896,0.28927676899593907
67.94112616833206,18.427291340473207,0.2712244023570855
68.27774780166911,16.505748430166868,0.2417441840365357
68.45982330247288,14.320476384017764,0.20918073832510878
68.40211925654923,12.278013346423544,0.17949755767615305
68.50866015161354,10.991353607583846,0.16043743350489353
68.07344327337243,7.909026564962159,0.1161837301692046
67.38941996690467,4.829211401717793,0.071661269737734
66.11154513943454,2.810052002875171,0.04250470922965945
65.38935280246743,1.7583818393232489,0.02689095034531214
64.53900174659204,1.19698792414328,0.018546737503675234
64.07211235283194,1.0248337197311042,0.015995004411397517
63.5237647288627,1.5881437532847655,0.025000781362115577
62.70863614017644,1.8377250063568857,0.02930577221052786
62.209868035514184,2.443061109356954,0.03927127940477653
62.12304880641609,1.6911228585349012,0.02722214847833163
62.083073844447654,0.459677761966292,0.0074042365092623855
62.13036395734421,0.19437837174861322,0.003128556785568877
62.127205126583554,0.15936375770044903,0.002565120342621996
62.15343487010269,0.32483734264567504,0.005226377968081209
62.31096556075251,0.3604506624982508,0.005784706740691016
62.71788784110101,0.43486892387806375,0.006933730373379705
62.90319004616041,0.5138441271830244,0.008168808717108764
62.983840402635124,0.538274637966646,0.008546233994714072
62.845108451461115,0.5725642183599677,0.009110720507423294
62.72454825074064,0.5547687643015359,0.008844523871002694
62.61224716966827,0.552244380077572,0.008820069635595191
62.760820595368706,0.5782535195852919,0.00921360673904195
62.63722876278499,0.5946886940427074,0.009494173126574098
62.52096855390809,0.5988599592090611,0.009578545775289772
62.62232161442456,0.5946603405883211,0.009495980430903503
62.52920947015965,0.5998602344039046,0.009593280316300358
62.48051993992856,0.5550946375177213,0.00888428326222978
62.42596729104477,0.5546360101270167,0.008884700296932063
62.50995884685575,0.5975254203584932,0.009558883598409994
62.45332339579837,0.6329149011207295,0.010134206903764383
63.83781731134741,0.6137969468212676,0.009614942563397495
63.79617506420081,0.6297996553547299,0.009872059801719079
