jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthStretchLeft,mouthStretchRight,mouthLowerDownLeft,mouthLowerDownRight,mouthUpperUpLeft,mouthUpperUpRight
0.0028575165197253227,0.0006778668030165136,0.00922250933945179,0.15655222535133362,0.018185272812843323,0.007980995811522007,0.000592712196521461,0.0008818102651275694,0.005500893574208021,0.002827486488968134
0.00416931975632906,0.0008974483935162425,0.013282021507620811,0.1629549264907837,0.017925987020134926,0.007508452516049147,0.0010599246015772223,0.0018616148736327887,0.0056874412111938,0.00300999591127038
0.005769088864326477,0.001146974740549922,0.01693492755293846,0.17031550407409668,0.01608586311340332,0.007226661313325167,0.0013211369514465332,0.002420542063191533,0.005464120302349329,0.0031676949001848698
0.009466681629419327,0.0014099134132266045,0.02509465627372265,0.16073982417583466,0.014711553230881691,0.007120936177670956,0.002239631488919258,0.004454408306628466,0.006720817182213068,0.00396804790943861
0.01301512774080038,0.0015628418186679482,0.032728374004364014,0.16518418490886688,0.013276003301143646,0.006204002071171999,0.0029270886443555355,0.006002068053930998,0.008237604983150959,0.004693320021033287
0.01551028061658144,0.0016509629786014557,0.0394427590072155,0.15852144360542297,0.012598435394465923,0.005281880497932434,0.003402549074962735,0.006515235640108585,0.009642504155635834,0.0055335508659482
0.01999521069228649,0.0017626506742089987,0.05722608417272568,0.157221719622612,0.012329142540693283,0.0041548325680196285,0.004389280453324318,0.007905900478363037,0.013333544135093689,0.007406140211969614
0.03598003089427948,0.002171747852116823,0.07294049113988876,0.14046801626682281,0.011629820801317692,0.0032469138968735933,0.006580977234989405,0.010526970960199833,0.017741980031132698,0.009387192316353321
0.11838402599096298,0.004187673330307007,0.07301323115825653,0.0983971655368805,0.009477218613028526,0.002446867758408189,0.01318538747727871,0.020856652408838272,0.023656893521547318,0.012137200683355331
0.21806347370147705,0.0070739262737333775,0.11342320591211319,0.08665350079536438,0.009076545014977455,0.001903204945847392,0.016025468707084656,0.021182913333177567,0.02236003801226616,0.013673899695277214
0.28494471311569214,0.01186410617083311,0.1339530497789383,0.0642925500869751,0.009950662031769753,0.0023573986254632473,0.01700129546225071,0.023146647959947586,0.017285142093896866,0.011737021617591381
0.3068286180496216,0.014669710770249367,0.14362022280693054,0.057369984686374664,0.008779219351708889,0.002316149417310953,0.017747102305293083,0.021934835240244865,0.014546846970915794,0.010280449874699116
0.3296973407268524,0.01858924888074398,0.14378583431243896,0.04892463609576225,0.007886889390647411,0.0021683210507035255,0.019566750153899193,0.022828301414847374,0.012786298990249634,0.009639709256589413
0.3464564085006714,0.026852203533053398,0.10489644855260849,0.045526452362537384,0.007427841890603304,0.0017891045426949859,0.020350508391857147,0.02276325225830078,0.00898617971688509,0.007811896502971649
0.32081303000450134,0.039358966052532196,0.073521189391613,0.040974702686071396,0.005261898972094059,0.0018412391655147076,0.019915210083127022,0.021698344498872757,0.0053493264131248,0.005048445891588926
0.2638869285583496,0.06680051982402802,0.02330407314002514,0.011385402642190456,0.0040337396785616875,0.0015839693369343877,0.028690842911601067,0.02865508571267128,0.004540939815342426,0.003941619303077459
0.20801138877868652,0.15228983759880066,0.0023646666668355465,0.002259146189317107,0.0058339317329227924,0.002195551758632064,0.016843941062688828,0.016820276156067848,0.001609691884368658,0.0012055195402354002
0.1913219541311264,0.1584196239709854,0.0007533392636105418,0.0010683535365387797,0.009555986151099205,0.0034723582211881876,0.006239194422960281,0.006065106485038996,0.000655578332953155,0.0004609517636708915
0.15178053081035614,0.12395434081554413,0.0010508537525311112,0.0021804794669151306,0.013717937283217907,0.0050200424157083035,0.003323013661429286,0.0027153082191944122,0.0006152575369924307,0.0004693219671025872
0.11094598472118378,0.08978060632944107,0.0010588155128061771,0.003446673508733511,0.014168095774948597,0.004515745211392641,0.0014163096202537417,0.0010534572647884488,0.0005927718011662364,0.0004421131161507219
0.05597252398729324,0.0479583814740181,0.0036260795313864946,0.02200945094227791,0.013737647794187069,0.004192113410681486,0.0014765294035896659,0.0012423960724845529,0.0007788522634655237,0.0006057327263988554
0.03270586580038071,0.015229830518364906,0.02545735612511635,0.09563273191452026,0.01255533192306757,0.003084913594648242,0.002537699183449149,0.002138279378414154,0.003180726198479533,0.0025540348142385483
0.045108530670404434,0.011146469041705132,0.050915103405714035,0.14192771911621094,0.013432980515062809,0.0030352382455021143,0.0032727473881095648,0.0030531121883541346,0.006336015183478594,0.004938445053994656
0.06052471697330475,0.009607691317796707,0.06577154248952866,0.14282186329364777,0.014060533605515957,0.003105546347796917,0.0038299665320664644,0.0040077283047139645,0.008893619291484356,0.006640463601797819
0.050854675471782684,0.007299515418708324,0.08203339576721191,0.16823984682559967,0.013151758350431919,0.0032443145755678415,0.0033728627022355795,0.0036635291762650013,0.0105081582441926,0.007578357122838497
0.039329010993242264,0.005541341379284859,0.08477392047643661,0.1903543472290039,0.011573435738682747,0.0031701545231044292,0.0030221075285226107,0.0032746363431215286,0.010731455869972706,0.00775478919968009
0.023253509774804115,0.003596183145418763,0.09318064153194427,0.2495783418416977,0.011875409632921219,0.0035060979425907135,0.0022210755851119757,0.0024260529316961765,0.010821443982422352,0.007749026641249657
0.01806814968585968,0.0028797637205570936,0.09442772716283798,0.2819768190383911,0.011832942254841328,0.0036553561221808195,0.0018419842235744,0.002168938983231783,0.011659642681479454,0.007990201003849506
0.017854956910014153,0.0027008228935301304,0.09241090714931488,0.2756848931312561,0.010823266580700874,0.003588414052501321,0.0018848294857889414,0.002258606720715761,0.011818509548902512,0.007869994267821312
0.018757563084363937,0.002743867924436927,0.08936399221420288,0.27038654685020447,0.009818260557949543,0.0032494673505425453,0.001970574725419283,0.0023421025834977627,0.011521903797984123,0.007425609510391951
0.041861001402139664,0.003948063123971224,0.11018519848585129,0.18421399593353271,0.009323608130216599,0.0031889250967651606,0.004034464247524738,0.005612114444375038,0.01299184188246727,0.008617791347205639
0.10446859896183014,0.005910055246204138,0.12361542880535126,0.11504746228456497,0.009418219327926636,0.002946368884295225,0.009697412140667439,0.012411931529641151,0.015492437407374382,0.010622731409966946
0.12411299347877502,0.006271129474043846,0.11776541918516159,0.10820657014846802,0.009912917390465736,0.00286283646710217,0.010933212004601955,0.013421173207461834,0.01565197855234146,0.010758684948086739
0.11215473711490631,0.005914314649999142,0.10832302272319794,0.11449382454156876,0.010164600796997547,0.002826796844601631,0.009559990838170052,0.011617505922913551,0.01547692995518446,0.01053741667419672
0.08812269568443298,0.004987501539289951,0.10732277482748032,0.14065934717655182,0.010205158032476902,0.0028701280243694782,0.007335021160542965,0.008648166432976723,0.015417210757732391,0.010433293879032135
0.05851186811923981,0.0037378163542598486,0.09265559911727905,0.18156099319458008,0.011002715677022934,0.003070991486310959,0.00485812034457922,0.005691819824278355,0.015499578788876534,0.01016166526824236
0.04267863184213638,0.0030802800320088863,0.08029245585203171,0.21386107802391052,0.01160780806094408,0.0031961388885974884,0.0036185740027576685,0.004157339222729206,0.015670480206608772,0.009990841150283813
0.03165770694613457,0.002617454854771495,0.07467058300971985,0.24657602608203888,0.011357714422047138,0.0032862701918929815,0.002880269195884466,0.003182321786880493,0.013915026560425758,0.00882402341812849
0.026254281401634216,0.002369300229474902,0.0745593011379242,0.26243719458580017,0.0112789086997509,0.003302754834294319,0.0025198443327099085,0.0027745545376092196,0.01321906317025423,0.008367881178855896
0.022291705012321472,0.002145197940990329,0.07641073316335678,0.2709586024284363,0.011589801870286465,0.003489485941827297,0.002320596482604742,0.002493310021236539,0.012923415750265121,0.008221703581511974
0.020268427208065987,0.002010844647884369,0.07650777697563171,0.2743544280529022,0.011794248595833778,0.003725471207872033,0.0021959871519356966,0.002496294444426894,0.013192275539040565,0.008224300108850002
0.020021408796310425,0.0019670105539262295,0.07328633219003677,0.2631767988204956,0.012677393853664398,0.003957333508878946,0.00216071424074471,0.0025980747304856777,0.014057532884180546,0.008183589205145836
0.019224178045988083,0.0018197090830653906,0.07139032334089279,0.2597556412220001,0.013011227361857891,0.004131259862333536,0.0021788564044982195,0.0027164292987436056,0.014381922781467438,0.008062475360929966
0.019546719267964363,0.0017969931941479445,0.06844369322061539,0.2537635564804077,0.012732960283756256,0.004243277013301849,0.0022114505991339684,0.002873784862458706,0.014347687363624573,0.007887390442192554
0.01925945095717907,0.0017529880860820413,0.06900779157876968,0.25214341282844543,0.012555031105875969,0.004355151671916246,0.002233866835013032,0.0029290609527379274,0.014503790996968746,0.007991804741322994
0.01911436766386032,0.001720760716125369,0.06809549033641815,0.24265646934509277,0.013152376748621464,0.004862066358327866,0.0022778180427849293,0.003064344637095928,0.015339558012783527,0.008476417511701584
0.0190496314316988,0.0017041033133864403,0.06802904605865479,0.24449962377548218,0.012305323034524918,0.004973217379301786,0.002267637988552451,0.0031209117732942104,0.01552974060177803,0.008464567363262177
0.01826511137187481,0.001669674296863377,0.06812198460102081,0.2521952986717224,0.011790910735726357,0.005123875103890896,0.0021846028976142406,0.003052418353036046,0.01580236479640007,0.008276613429188728
0.01803334429860115,0.0016577098285779357,0.06815969198942184,0.24986916780471802,0.012020301073789597,0.005398006644099951,0.002169396262615919,0.003074685577303171,0.015840187668800354,0.008228981867432594
0.018354276195168495,0.0016764976317062974,0.0672910213470459,0.24840864539146423,0.011820198968052864,0.005530751310288906,0.0021734898909926414,0.003108913777396083,0.015563537366688251,0.008035717532038689
0.018250329419970512,0.0016705736052244902,0.06768065690994263,0.2526370584964752,0.01170008908957243,0.005525432527065277,0.002152827102690935,0.003106969641521573,0.01539707276970148,0.007966376841068268
0.01879938691854477,0.001665682764723897,0.06560888886451721,0.2447657585144043,0.012133639305830002,0.005874220747500658,0.0022434911224991083,0.0032708938233554363,0.015590363182127476,0.008042354136705399
0.01898767612874508,0.0016592667670920491,0.06440077722072601,0.24064452946186066,0.012229012325406075,0.006063370034098625,0.0022760836873203516,0.0033218213357031345,0.015851816162467003,0.00817948766052723
0.01962258666753769,0.001705621718429029,0.06394607573747635,0.23916445672512054,0.011713896878063679,0.005907632410526276,0.0023104706779122353,0.0034088902175426483,0.015604106709361076,0.008007633499801159
0.019402259960770607,0.0016953075537458062,0.06300070136785507,0.23787638545036316,0.011553739197552204,0.006001027300953865,0.002298627747222781,0.0034010002855211496,0.01605493389070034,0.00818423181772232
0.019012778997421265,0.0016684078145772219,0.06262467801570892,0.23235999047756195,0.012328079901635647,0.006218922324478626,0.0023159401025623083,0.0034378422424197197,0.016346054151654243,0.008294143714010715
0.01913166046142578,0.0016986269038170576,0.06313389539718628,0.23455369472503662,0.011911841109395027,0.006015608087182045,0.0022929899860173464,0.0034066226799041033,0.01637384667992592,0.00834439042955637
