jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthStretchLeft,mouthStretchRight,mouthLowerDownLeft,mouthLowerDownRight,mouthUpperUpLeft,mouthUpperUpRight
0.002597779268398881,0.0008788940613158047,0.0061311060562729836,0.19082890450954437,0.011022746562957764,0.001968393800780177,0.0005772672011516988,0.0008269833633676171,0.0008029905729927123,0.0005528449546545744
0.0025432852562516928,0.00084906310075894,0.00621528085321188,0.19321532547473907,0.010961205698549747,0.0020099070388823748,0.0005889592575840652,0.0008446000283583999,0.0008118697442114353,0.0005644637276418507
0.0025426018983125687,0.0008601404842920601,0.006377974059432745,0.19673533737659454,0.011236988008022308,0.002139188116416335,0.0005832404131069779,0.0008439259836450219,0.0008361543877981603,0.000585061265155673
0.002530101453885436,0.0008592837257310748,0.006357500795274973,0.19067120552062988,0.011200739070773125,0.0023637141566723585,0.000592712196521461,0.0008135448442772031,0.000823265581857413,0.0005758502520620823
0.0028673650231212378,0.0009990232065320015,0.006719327997416258,0.20830032229423523,0.009398515336215496,0.0028677862137556076,0.0006032472592778504,0.0008688816451467574,0.000731741834897548,0.0005242176703177392
0.0033623590134084225,0.0012210244312882423,0.006925822701305151,0.2230425328016281,0.009007642045617104,0.002965314779430628,0.0006025065667927265,0.0009180361521430314,0.0006918617873452604,0.0005234630079939961
0.0035919039510190487,0.001334576983936131,0.006872669793665409,0.24385198950767517,0.008224374614655972,0.002507382771000266,0.0005335109890438616,0.0008195032132789493,0.0006883560563437641,0.0005126430187374353
0.004189705476164818,0.0016381049063056707,0.007195725571364164,0.2765856683254242,0.007121647708117962,0.0019711675122380257,0.000483552401419729,0.0007533255848102272,0.0004680201527662575,0.0002968223125208169
0.005044418852776289,0.00205694860778749,0.007838900201022625,0.3046104609966278,0.006449076812714338,0.0014039663365110755,0.0004645563312806189,0.0007019562763161957,0.0003283541591372341,0.00019149118452332914
0.0075563048012554646,0.003196488367393613,0.010539887472987175,0.32168176770210266,0.0064307707361876965,0.0012626589741557837,0.0004947537090629339,0.0006394705269485712,0.0003259246004745364,0.00019450670515652746
0.012326058000326157,0.005879170726984739,0.013195597566664219,0.3968775272369385,0.0049131750129163265,0.0012021574657410383,0.000462017284007743,0.0005410881713032722,0.0003647653211373836,0.00021407706663012505
0.017892558127641678,0.0074883271008729935,0.020747682079672813,0.4242823123931885,0.005067107267677784,0.0010674175573512912,0.0006139755132608116,0.0006592655554413795,0.00046658425708301365,0.00027898713597096503
0.025849275290966034,0.009363061748445034,0.03185756132006645,0.42462030053138733,0.004494727123528719,0.0008575593819841743,0.0008825095137581229,0.0008210270316340029,0.0005995233077555895,0.0003768151509575546
0.029471108689904213,0.009292397648096085,0.04120584577322006,0.4339487850666046,0.0043411096557974815,0.0006767829763703048,0.0010807599173858762,0.0009997593006119132,0.0006771497428417206,0.0004226137534715235
0.03506308048963547,0.010452882386744022,0.0541159026324749,0.48331964015960693,0.0035946988500654697,0.00041525575215928257,0.0011136125540360808,0.0010975211625918746,0.0006267109420150518,0.0003831878420896828
0.038242094218730927,0.012246949598193169,0.06143397465348244,0.5997097492218018,0.002608176087960601,0.00025310085038654506,0.0009896208066493273,0.0010355637641623616,0.0003956591244786978,0.00022242356499191374
0.04270946606993675,0.015104126185178757,0.050625432282686234,0.6744414567947388,0.0012558391317725182,0.0001751879317453131,0.001017570262774825,0.0010391036048531532,0.00019814942788798362,0.00011725060176104307
0.04585161805152893,0.01674443483352661,0.04459795728325844,0.7761141061782837,0.0005442515830509365,0.00012602710921783,0.000962133752182126,0.0009535313583910465,9.323444828623906e-05,6.0664708144031465e-05
