width,height,ratio
56.644707032438,0.690651079265809,0.012192685167747495
57.901516993689704,0.7369752392710988,0.012728081707279218
58.32931341761995,0.6835532775141935,0.011718863766150686
58.00269605927673,0.7411634077531019,0.012778085470297082
57.153485897177795,1.0745472748134375,0.01880108024813405
56.999819015099916,3.4095002885242383,0.059815984461652795
57.57699192533894,5.632150985468793,0.09781947262496969
58.252417531171,7.810264808408122,0.13407623476276898
58.70977550419622,10.070017552647078,0.1715219904379865
58.60958888744568,11.37779260089215,0.19412851748102436
57.82208306846511,12.442535862020964,0.21518657235658895
57.99809014875713,12.967265939682827,0.22358091286150236
58.410638055460346,13.018429749595104,0.22287771856274244
58.189492092351266,11.831709319776813,0.2033306855643106
57.92930650791067,5.08129121304958,0.08771538137360048
59.96548243675828,2.2519908816282608,0.03755478635568871
61.483815673435934,0.9183072299411236,0.014935755367210854
62.47847040860241,0.3085750860612905,0.004938902697893258
62.92120709379821,0.30620606672974615,0.004866500197195473
62.39649704446404,0.3473982706223976,0.0055675925264657075
62.189083399227236,0.5005033537293111,0.008048090217318275
61.70713675825128,0.5705704497886214,0.009246425612387962
60.92878257886771,0.40630884653083316,0.006668586328717417
55.20486257700241,0.07777929185443369,0.0014089210302071376
49.80877822947632,4.651527482184136,0.0933877048891637
48.97326209079581,8.968178971246585,0.1831239861992386
48.845162475734256,12.17171530441537,0.24918978026661587
49.50930173768114,13.524434043406986,0.2731695574109389
50.45234233257063,14.0018333754709,0.2775259329522092
51.73264013588261,14.875216083264394,0.2875402462389833
52.02170801111923,15.808922794127653,0.30389088322030144
52.37445737546102,16.929763242937575,0.323244651902965
52.858473666397444,17.332962227522128,0.3279126509954606
52.91181676365491,17.11641445349315,0.32348944905725485
52.62068964940275,16.781161001956157,0.31890804004592943
52.265911552658785,16.381722125513683,0.3134303342056671
51.97935894574045,15.29164041737283,0.2941867835141113
51.93448319701104,12.639931836259997,0.24338225891862647
51.8890614073231,7.49624611929294,0.14446678964663245
53.113748950646624,2.5108309452259534,0.04727271177109003
54.32735711154259,0.9658451134260372,0.01777824589263574
55.31962266441519,0.6390766291121013,0.011552440134831083
55.87737498051324,0.6143040201186852,0.010993788099976396
56.34240082693076,0.5850242029290826,0.010383373699784735
56.74999943514173,0.6371398689334852,0.011227134366083257
56.932520076448874,0.6671420224743135,0.011718118600379477
56.82940782358714,0.7552444569198556,0.013289676698098378
56.543731710829825,0.7942136392446367,0.014046006784736512
56.89500799987182,0.7735064037100824,0.01359532990507401
56.90357822185599,0.7560609762778648,0.013286703576533098
56.85292889610817,0.7868518747417979,0.013840129084284721
57.07741274939383,0.7916443263198675,0.013869660311964209
57.039833907093616,0.780324460841566,0.01368034244476513
57.024039859009115,0.7338296536003733,0.012868777017811323
56.634391783775115,0.5882704464833641,0.010387159249971757
56.581247883605414,0.46549169753793884,0.008226960608848933
56.38761016681123,0.41752122241705614,0.007404485155194641
56.45440298541333,0.38063933208736983,0.006742420643182061
56.378413143556784,0.33709015684418836,0.005979064291608441
56.296910145000815,0.3357267120709483,0.005963501570623249
56.32980755753911,0.3128546791913312,0.005553980969520623
